Ano	Mes	SLuis	teresina	fortaleza	natal	JPessoa	recife	maceio	aracaju	salvador
1961	1	251,4	171,2	162,7	174,4	273,4	102,4	75,2	23,5	47,9
1961	2	502,6	398,7	465,7	35	57,3	135,7	50,6	15,5	7,8
1961	3	327,7	251,4	287,6	306,4	191,2	348,1	243	292,5	76,4
1961	4	438	181,4	367,7	313,4	511,4	424,8	162,4	96,3	91
1961	5	424,1	56,1	182,8	197,5	276,5	248	261,7	130,3	194,9
1961	6	172,6	1,6	76,4	115,6	324,9	336,5	270,5	226,3	223
1961	7	56,3	0	118,8	175,5	320,9	355,2	192,1	166,8	107,8
1961	8	7,7	0	0,3	39,7	90,6	243,8	56,8	101,1	77,4
1961	9	12,8	11,1	15,9	62,3	82,4	91,2	21,9	1,2	5,8
1961	10	3,7	6,4	5	33	72,6	86	138,2	27,7	39,7
1961	11	0,2	34,3	8	0	8	8,5	52,5	13,4	8
1961	12	49,5	80,7	68,1	9,1	13,2	18	18,7	26,4	66,4
1962	1	177,2	170	71,9	1,1	10,6	0	0,5	1	6,1
1962	2	224	168,5	100,8	15,4	72,7	90,5	52,8	13,7	61,7
1962	3	443,7	210,7	359,4	194,4	186,7	155,6	98,9	63,6	169,9
1962	4	315,1	100,9	381,1	171	169,6	128	190,9	143,1	138,3
1962	5	325,6	27,7	173,5	197,7	266,9	286,1	273,4	503,4	185,4
1962	6	103,8	72,1	93,3	186,8	253,5	562,6	365,6	262,7	227,7
1962	7	120,5	6,8	5,8	113,1	289,8	290,7	152,3	74,3	230,5
1962	8	41,6	0	28,7	114,8	129,8	143	99,9	108,2	79,1
1962	9	6,2	0,7	31,5	121,8	105,4	164,5	38,9	71,5	24
1962	10	2,8	4,8	7,2	6	17,6	21,8	28,2	24,7	70,1
1962	11	35,8	75	11,8	2,3	2,2	6,2	22,9	56,9	142,5
1962	12	68	265,3	11,7	30,3	42,3	105,1	29,1	12,6	54,5
1963	1	210,6	190	221,1	59	30,2	23,7	27	0	33
1963	2	345,2	342,1	248,6	181,9	189,1	157,3	55,4	15,7	272,6
1963	3	483,5	385,8	630	200,3	302,3	402,7	279,9	115,2	120,5
1963	4	340,7	152,3	586,2	227,3	286,8	333,5	168,9	228,4	205
