Ano	Mes	SLuis	teresina	fortaleza	natal	JPpessoa	recife	maceio	aracaju	salvador
1961	1	26,4	27,6	27,2	27,1	26,3	26,5	26,3	27,1	26,6
1961	2	24,8	25,7	26	26,2	26,5	26,1	26,5	27,2	26,4
1961	3	26	26,4	26,5	26,6	26,5	26,2	26,4	26,8	26,5
1961	4	25,7	26,3	26,4	25,9	25,8	25,2	26	26,4	25,7
1961	5	26,2	26,9	26,7	25,7	25,4	24,7	25,1	25,8	24,3
1961	6	25,8	26,7	26,4	25	24,9	24,3	24,3	24,9	22,9
1961	7	25,7	26,5	25,9	23,9	23,9	23,2	23,5	23,6	22
1961	8	26	27,4	25,9	24,2	24,3	23,1	24	23,8	22,2
1961	9	26,3	29,2	26,2	25	25,1	24,3	24,8	24,8	23,5
1961	10	26,5	30,3	26,7	25,4	25,2	25	25	25,8	24,5
1961	11	26,7	29,8	26,8	26,3	26,5	25,5	25,4	27,1	25,9
1961	12	26,4	27,9	26,9	26,8	27,2	25,9	26,2	28,6	26,3
1962	1	26,5	27,2	27,3	27,2	27	26,3	26,8	26,9	26,8
1962	2	25,8	26,8	27,4	27,7	27,4	26,8	26,8	27,2	26,7
1962	3	25,7	26,2	26,7	27	27,1	26,5	26,8	27	26,4
1962	4	25,8	26,5	26,5	26,9	26,4	25,5	25,8	26,7	25,9
1962	5	25,9	26,8	27	26,2	25,6	24,9	25,2	25,2	24,1
1962	6	25,8	26,7	26,6	25,2	24,5	24,2	24,1	24,5	22,8
1962	7	26,3	27,2	26,5	24,7	23,8	23,4	23,7	24	22,1
1962	8	26,4	28	26,4	24,8	24	23,5	24,2	24,2	22,1
1962	9	26,2	29,7	26,3	25,6	24,8	23,9	24,7	25	23,3
1962	10	26,3	30,4	26,9	26,5	26,1	25,1	26,7	25,8	25,1
1962	11	26,2	29	27	26,8	26,3	25,5	26,1	26	25,5
1962	12	26,5	27,4	27,3	27,2	26,8	26,1	26,5	26,7	26,3
1963	1	25,7	26,5	26,5	27,3	27,4	26,3	26,7	27,4	26,8
1963	2	25,4	25,7	26,6	27,4	27,4	26,5	27,2	27,7	26,7
1963	3	25,4	25,6	25,8	26,7	26,2	25,6	26,2	27	26,9
1963	4	25,9	26,4	26,4	26,6	25,7	25,4	26,1	27,2	26
1963	5	26	26,4	26,7	26,3	25	24,9	25,4	25,5	23,7
1963	6	25,8	26,7	26,5	24,9	23,9	23,9	24	24,4	22,5
1963	7	25,3	26,4	26,1	24,2	23,2	23,3	23,7	23,8	21,8
1963	8	25,9	27,5	26,1	24,4	23,7	23,4	23,6	23,7	23,1
1963	9	26,1	29,3	26,2	25,4	25,2	24,2	24,6	24,9	23,8
1963	10	26,7	30,1	26,9	26,4	26,9	25,4	25,7	25,9	24,9
1963	11	27,5	27,8	27,3	26,8	26,8	26,2	26,5	26,7	25,6
1963	12	26	27,1	27,1	27,2	26,6	25,9	26,2	26,4	25,4
1964	1	25,6	26,4	26,9	27,2	27,2	26,2	27	27,4	26
1964	2	25,2	26,6	26,5	27,2	27,5	25,9	27	27,2	26,4
1964	3	25,6	26,2	26,8	27,3	27,5	26	26,4	27	26,2
1964	4	25,5	26	26,2	26,5	26,9	26	26	26,9	25,7
1964	5	25,6	26,4	26,6	25,8	26,7	25,4	25,6	25,9	24,8
1964	6	25,7	26	26,3	25,1	25,8	24,2	24,5	24,9	23,8
1964	7	25,8	26,4	25,8	24,5	25,2	24,2	24,3	24,5	23,5
1964	8	26	27	26,3	24,9	25,7	24,5	24,3	24,3	23,5
1964	9	26	28,4	25,8	25,1	25,7	24,2	24,1	24,3	24
1964	10	26	29,1	26,5	25,9	26,5	25,4	25,5	25,5	24,5
1964	11	26,4	29,2	26,9	26,4	26,5	25,4	25,9	25,6	24,6
1964	12	26,4	28,8	27	26,8	26,4	25,8	26,3	26,2	25,2
1965	1	25,6	27	26,5	26,6	26,1	25,3	26	26,1	25,7
1965	2	25,7	27,3	27,6	27,3	26,8	25,9	26,9	26,7	26,5
1965	3	25,3	26,2	27,2	27,3	27	25,7	27,3	27,2	26,8
1965	4	24,9	25,8	25,8	26,5	26,8	25,2	26,2	26,8	25,7
1965	5	25,8	26,8	26,2	26	25,5	24,8	25,8	26,3	25,3
1965	6	25,3	26,4	25,7	25,1	24,3	24	24,8	25,1	24,3
1965	7	25,6	26,5	25,9	24,8	24,2	23,9	24,1	24,7	24
1965	8	26,9	27,3	26	25,1	24,4	23,1	23,8	24,3	23,6
1965	9	26,3	29	26,2	25,5	24,5	23,8	24,6	24,9	24,5
1965	10	26,1	29	26,8	26,7	26,7	24,8	25,8	26,1	25,1
1965	11	26,4	29,6	27	26,9	26,8	25,8	26,3	26,5	25,6
1965	12	26,8	29,5	27,2	27	26,6	26	26,6	26,8	26,1
1966	1	26,5	28,6	27,5	27,5	27,3	26,1	26,9	27,2	26,6
1966	2	25,6	26,5	27,4	27,2	26,4	25,7	25,9	26,7	26
1966	3	25,9	26,8	27,2	27,6	26,6	25,8	26,3	27	26,1
1966	4	25,9	26,8	26,7	27,5	27	26,4	26,2	25,9	26
1966	5	26,4	27,2	26,4	26,9	26	25,4	25,4	25,6	24,9
1966	6	25,6	26,6	25,8	25,8	25,3	24,6	24,8	25,2	24,3
1966	7	25,5	27,4	25,5	24,7	24,2	24,1	24,4	24,5	23,5
1966	8	25,7	27,9	25,8	24,8	24,1	23,8	24,2	24,4	23,4
1966	9	25,7	29,4	26,2	25,4	25,1	24,2	24,4	24,7	23,8
1966	10	26,3	30,2	26,9	26,8	26,2	25,4	25,9	25,6	24,9
1966	11	25,2	29,1	27,2	27	26,8	26	26,3	26,5	25,2
1966	12	26,6	28	27,9	27,6	26,8	26,4	27	27,6	25,7
1967	1	26,3	27,2	27,9	27,9	27,5	27,1	27	27,8	26,9
1967	2	25,2	25,9	26,2	27,6	27,6	27,3	27,1	27,6	26,9
1967	3	25,6	25,7	25,6	27,1	26,8	26,1	26,7	27,4	26,5
1967	4	25,7	26,3	25,6	27,1	26,4	25,6	26,1	25,8	26,1
1967	5	26,1	26,5	25,7	25,4	25,9	25,1	25,5	25,6	25,1
1967	6	25,6	26,6	25,2	23,9	25	24,6	25,2	25,2	24,6
1967	7	24,9	26,5	24,8	23,7	24,2	23,5	23,9	24,2	23,3
1967	8	25,6	27,4	25,4	23,2	23,7	23,6	23,8	24,7	23,3
1967	9	25,4	28,8	25,9	23,7	24,9	25	24,7	24,6	24,2
1967	10	26	29,5	26,5	24,2	25,3	25,2	25,4	26,3	24,8
1967	11	26,3	29,1	26,4	24,3	26,2	25,3	25,9	26,8	25,2
1967	12	26,6	28,4	26,6	25	26,3	25,8	25,9	25,8	25,2
1968	1	26	26,9	26,9	25,3	26,6	26,1	26,3	26,4	25,8
1968	2	25,8	26,6	26,6	25,7	26,9	25,5	27,2	27	25,8
1968	3	25,3	24,8	25,2	25,2	26,9	25,8	26,4	27,4	25,6
1968	4	25,8	25,7	25,8	25,5	26,9	25,6	26,3	26,1	25,7
1968	5	25,6	25,4	25,2	24,6	26,2	25	24,8	25,2	24
1968	6	25,4	25,2	25,4	23,5	24,1	23,7	24,2	24,1	22,5
1968	7	25,6	25,7	25,2	23,2	23,4	23,7	23,8	23,9	22,8
1968	8	25,9	27,1	26	23,8	23,9	23,7	23,9	24	22,6
1968	9	26,1	28,3	26,8	24,5	25,3	24,2	24,7	24,8	23,6
1968	10	26,3	28,9	27,3	25,5	25,4	25,9	26,3	25,8	24,6
1968	11	26,4	28,6	27,5	25,9	26,7	26,3	26,7	25,9	24,6
1968	12	26,5	27,7	27,4	26,3	27,8	26,6	27,1	26,7	25,6
1969	1	26,3	26,6	27,5	26,7	27,8	26,7	27,2	27,1	26,3
1969	2	26,6	26,5	27,9	26,8	28,1	27,1	27,2	27	26,2
1969	3	26,6	26,1	27	27	28	26,9	27,4	27	26,2
1969	4	26,4	26,2	26,5	26,5	27,6	26,4	26,6	26,7	26
1969	5	26,5	26,3	26,6	25,7	27,3	25,6	26,2	26,2	25,1
1969	6	26,5	25,8	26,1	24,8	26,6	24,9	25,2	25,5	24,6
1969	7	26	25,8	25,6	23,9	23,9	24,1	24,2	24,6	24,2
1969	8	26,1	26,8	25,8	23,6	23,7	23,8	24,6	24,6	23,7
1969	9	26,1	28,3	26,6	24,2	24,9	25	25,1	25,4	24,5
1969	10	26,5	29,1	26,8	24,9	26	25,6	25,9	26	25,5
1969	11	26,7	29,1	27,2	25,6	26,9	26,2	26,8	26,3	26
1969	12	26,5	27,4	27,6	26	27,2	26,5	27,4	26,1	25,6
1970	1	26,4	26,4	27,6	26,6	27,4	26,7	27,5	26,7	26,1
1970	2	26,5	26,5	27,6	26,8	27,3	26,6	27,5	26,9	26,6
1970	3	25,9	25,5	26,7	26,3	26,4	26	26,8	26,8	26,6
1970	4	26,4	26,6	26,6	25,7	25,9	25,3	26,7	26,8	25,7
1970	5	26,4	26,8	26,8	25,2	25,2	24,6	24,7	25,8	25
1970	6	26,1	26,7	26,3	24,3	26,2	24,4	24,1	24,9	24,1
1970	7	25,9	26,5	26,3	23,7	23,8	23,4	23,3	24,1	23,2
1970	8	26	27,3	26,5	23,5	23,6	23,5	23,1	23,9	23,1
1970	9	25,6	28,7	27	24,3	25,3	24,7	24	25	24,5
