Ano	Mes	SLuis	teresina	fortaleza	natal	JPessoa	recife	maceio	aracaju	salvador
1961	1	93	72	75,1	76,1	83,4	82,7	78	74,4	85,5
1961	2	93,4	83	82,2	85,2	92,3	86	76	71	80,6
1961	3	94,7	82	81,3	78,8	86,4	82,4	81	78,1	81,8
1961	4	93,6	83	80,2	80,6	88,7	85,4	80	77,7	87
1961	5	92,7	79	75,2	78,3	89,4	85,3	83	75,5	90,6
1961	6	89	70	72,2	77,4	87,4	84,9	84	78,6	89,4
1961	7	72,8	61	70,8	78,9	83,9	84,8	80	77	89,1
1961	8	62,1	53	68,9	75	81,8	84,2	76	73,5	85,7
1961	9	62,2	51	70,2	74,5	79,3	78,5	73	71,8	84
1961	10	63	46	68,8	74,1	79,4	79,1	77	72,9	85,6
1961	11	78,4	54	70,1	70,9	73,6	71,5	73	71,3	85,3
1961	12	87,6	70	71,9	71,6	74,2	72,9	73	73,1	86,6
1962	1	91,3	76	71,1	70,6	80,7	71,2	72	73,9	85
1962	2	92,3	80	74	72	81,1	71,5	74	73	80
1962	3	91,5	83	76,1	75,2	80,7	77,7	76	75,6	81,3
1962	4	90,9	83	78,3	75,6	81,1	81,6	81	75,4	83,9
1962	5	89,9	76	73,3	77,1	82,6	84,1	83	81,8	86,2
1962	6	82,3	68	72,5	78,6	87,2	85,3	85	79,9	86,8
1962	7	71,1	60	69,8	77,7	86,8	85,2	80	77,4	85,8
1962	8	60,5	50	68,4	74,8	84,5	81,1	75	73,9	83,1
1962	9	60,4	47	71,9	72,6	79,6	80,4	75	73,5	81,5
1962	10	60,9	47	69,4	69,1	77,6	75,5	72	74,4	82,6
1962	11	70,2	62	70,5	70,5	76,2	74,5	72	80,2	83,2
1962	12	82,8	74	72,3	72,4	74,8	75,4	74	88,6	81,1
1963	1	88,5	79	77	70,4	74,8	74	72	73,5	81,7
1963	2	90,3	84	78,1	73,9	77,9	75,1	73	71,8	83
1963	3	91,3	85	82,6	77,9	83,8	82,9	78	74,3	84
1963	4	91,7	84	80	76,8	85,4	84,8	79	87,8	85,7
1963	5	89,9	78	73,7	71,8	84,3	83	77	93,9	89,7
1963	6	79,5	69	72,6	76,6	87,1	86,2	81	86,4	84,6
1963	7	68,2	62	71,4	74,9	85,4	83,4	75	73	85,9
1963	8	59,9	55	70,5	73,9	82,5	84	76	74,6	76
1963	9	59,2	51	72,3	71,5	77,9	79,2	77	74	77
1963	10	57,7	50	70,9	70,5	78,4	74,8	74	73	77,3
1963	11	70,5	70	72,6	72,6	77,2	76,4	75	76,6	81,2
1963	12	84,1	78	77,8	74,4	75,2	81,3	79	78,7	83,1
1964	1	91,3	84	81,3	77,2	77,5	82,4	80	77,7	86,5
1964	2	92,7	83	86	77,7	79,7	83,6	79	78,6	85,1
1964	3	91,3	85	81,6	75,5	87,4	83,9	81	77,8	82,4
1964	4	91,4	85	84,2	79,7	76,5	83,6	83	82,3	83,8
1964	5	90,6	82	79,7	80,3	75,3	85,3	85	82,2	85,9
1964	6	87,4	75	75,8	79,5	75,1	88,7	83	79,2	82,8
1964	7	78,5	67	75,6	79,8	77	86,9	80	77,5	83,8
1964	8	68,4	59	71,1	75,2	75,4	82,5	78	75,5	80,7
1964	9	61,4	56	75,6	75,4	74,2	82,9	78	79,5	75,8
1964	10	58,2	55	72,2	68,6	73,8	71,8	72	73,9	79,7
1964	11	62,7	56	70,4	69,6	74,6	70,6	72	75	81,9
1964	12	79,3	60	71	70,2	71,6	70,7	72	73,9	80,4
1965	1	87,4	73	74,7	72	83,6	76	76	75,1	78,7
1965	2	89,7	77	72,4	70,7	79,5	73,7	76	75,1	77,5
1965	3	91	82	78,2	73,8	79,2	77,8	74	74,1	77,3
1965	4	91,5	86	86,8	80,6	78,9	83,1	81	76,5	85,6
1965	5	92,5	79	83,3	78	89,9	84,5	78	72,4	81,2
1965	6	91	76	80,9	80,8	88,3	86,2	78	77,1	82,2
1965	7	76,3	65	77,1	77,6	89,8	80,8	79	74,6	80,2
1965	8	66,9	59	76,4	76,1	81,8	80,9	76	74,6	81,2
1965	9	61	53	73,2	75,9	79	79,3	75	74,2	77,7
1965	10	62,6	59	72,7	75	75,6	78,2	77	77,5	82,6
1965	11	70,9	56	75,2	73	76,6	73,5	75	77,2	81,2
1965	12	72,1	56	78,7	73,5	74,2	75,2	74	74,3	80,5
1966	1	89,9	67	80,6	73,6	78,7	77,1	75	73,7	79,8
1966	2	91,2	82	81,6	74,4	79,8	82,2	81	77,3	83,8
1966	3	92,5	81	83,2	71,1	75,5	79,8	77	75	81,8
1966	4	91,4	81	86,2	73,7	77,8	88,8	81	81,2	82,9
1966	5	91,1	79	87,5	75,1	79,4	81,4	82	79,7	84,6
1966	6	85,2	73	84,4	79	90,3	84,3	81	76,9	82,9
1966	7	78,3	60	84,1	82,9	91,9	86,3	80	76,2	81,4
1966	8	67,2	54	77	73,7	80,2	78,6	74	83,7	78,6
1966	9	63,7	53	77,5	74,9	81,7	80,3	81	81,9	80,3
1966	10	61,2	51	78,6	71,2	75,3	75,1	72	83,7	81,7
1966	11	83,7	60	77,3	73	75,4	74,9	76	85,5	84,6
1966	12	90,9	70	73,3	73,5	73,6	75,6	75	83,1	83,6
1967	1	92	78	72,2	72	71,5	70,8	73	81,3	75,2
1967	2	92,2	84	83,7	74,9	74	72,7	75	83,1	79,6
1967	3	92,1	86	88,5	78,6	78,9	81,6	78	83	81,3
1967	4	92,5	84	87,9	78,5	80,7	85,3	83	85,3	84,3
1967	5	91	81	85,9	84,1	81	86,3	84	88,2	84
1967	6	87,8	69	83,5	88,3	82,8	83	75	93,3	79,8
1967	7	72,1	63	81,1	82,9	79,9	84,8	77	77,2	79
1967	8	64,8	57	75	85,5	80,8	81	76	78,5	78,7
1967	9	63,2	55	73,1	86,3	75,1	75,9	76	79,5	80,6
1967	10	66,7	51	71,7	81,8	74,6	76,3	75	79,3	78,1
1967	11	74	58	71,4	82,3	71,3	70,2	71	81,2	80,6
1967	12	78,7	64	73,5	85,8	72,3	71,4	75	84,4	81,2
1968	1	89,4	75	76	81,8	80,6	74,5	76	82,7	80,2
1968	2	92,6	81	80	78,1	74,6	80,9	74	75,2	83,6
1968	3	92,6	93,7	87,9	81,7	73,9	83,5	79	77,2	84,2
1968	4	92,3	93,4	87,7	80,9	74,2	84,9	78	76,4	81,6
1968	5	92	90,8	87,9	83,8	76,9	87,2	88	85	85,3
1968	6	86,2	70,9	77,9	80,5	81,4	87,1	79	78,5	85,2
1968	7	72,1	56	78	83,5	82,6	85,8	80	80,3	82,3
1968	8	63,8	46,7	73,7	77,9	82,2	82,8	79	78	82,2
1968	9	64,9	45,9	69,3	74,3	83,8	80	74	75,8	80,6
1968	10	66,6	50,7	70,3	76,8	83,4	75,1	72	87,3	86,3
1968	11	83,1	71,4	74,1	84	77,3	73,1	74	94,1	88,9
1968	12	91,4	85,3	77,1	78	70,5	73	73	86,9	85,9
1969	1	91,8	90,3	79,4	79,9	71,9	78,1	76	82,3	82,9
1969	2	91,5	92,2	81,6	81	70,4	75,9	78	75,7	84,7
1969	3	92,5	92,9	87	77,8	72,3	81,6	80	85,2	84,2
1969	4	91,6	92	88,6	82,6	74	83,3	82	86	83,8
1969	5	92,4	86,1	86,3	85,3	74,3	88,5	83	89,9	87,3
1969	6	87,8	74,5	84,3	85,3	75,8	87,5	83	87,2	83,6
1969	7	74,5	58,6	82,4	85,3	85,2	86,7	85	88	78,3
1969	8	65,4	51,8	76,2	82,1	81,3	82,1	76	86,5	80,2
1969	9	60	44,6	72,1	77,2	81,1	76,4	75	87	77,6
1969	10	63,2	47,8	72,3	74,6	73,2	74,7	75	88	78,6
1969	11	67,1	54,4	71,3	73,8	70,8	72,7	70	85,1	76,6
1969	12	71,2	59,5	72,1	73,8	70,8	72,9	70	88,8	82,6
1970	1	83,3	76,4	76,3	73,3	73,3	76,7	73	82,2	83,4
1970	2	91,4	88,2	75,7	70,2	74,8	76,1	72	79,1	80,1
1970	3	91,1	90,7	84,2	78,6	84,5	83,4	78	76,5	78,1
1970	4	91,2	91,7	85,5	81,6	89,1	86	78	74,7	80,9
1970	5	89,8	80,9	80,3	79,7	91,9	85,1	87,9	76,8	80,4
1970	6	86,5	70,7	80,2	82,7	84,7	86,1	89,3	80,4	81,8
1970	7	69,9	55,3	75,8	80,7	94,4	84,7	89,5	78,9	82,3
1970	8	60,5	47,6	74,7	81,2	96,3	84	88,8	80	81,3
1970	9	82,4	46	74,5	77,1	84,9	79,1	87,5	79,5	77,6
1970	10	80	47,8	76,6	75	72,7	75,7	80,4	80,9	81,2
1970	11	68	61,2	76,2	74,6	72,7	73,6	77,4	83,5	81,8
1970	12	78,7	62,7	76,6	73,1	72,5	72,5	80,7	79,7	78,7
1971	1	86,9	86,7	78,5	78,5	78,8	74,1	83,3	75,6	79,2
1971	2	89,9	92,2	76,8	79,6	83,4	74,5	81,3	75,6	74,8
1971	3	91,6	91,9	81,5	83,4	88,1	78,4	83,1	77,3	78,9
1971	4	92,5	92,6	82,9	83,2	89,8	85,1	85,6	76	81
1971	5	92,2	90,8	83,3	86,3	93,1	87,9	89,6	79	84,9
1971	6	89,5	80,7	80,3	85,6	92,7	86,4	89,4	83,1	84,7
1971	7	84,1	68,6	80,7	86,6	93,8	85	90,9	78	79
1971	8	65,7	51,8	79,2	86,2	91,3	80,7	89,9	77,1	78,8
1971	9	62,5	47,5	77,3	81,6	86,9	78,8	87,9	78,9	79,9
1971	10	68,2	54,5	79,1	80	82,9	78,1	85,1	77,8	82
1971	11	77	66,8	79,9	79,3	77	77	81,5	76,8	83
1971	12	69,1	61,7	81,1	78,3	75,3	73,5	79,2	75,9	81,4
1972	1	84,9	79	75,4	76,6	79,6	71,6	83	77,4	79,5
1972	2	90,3	91,9	79,3	80,2	81,7	75,3	80,4	77	81,7
1972	3	91,1	91,6	84	84,9	89,3	80,9	84,2	79,4	82,2
1972	4	91,3	91,9	82	84,5	90	82,9	86,3	81	84,1
1972	5	89,9	88,7	82,1	84,8	92,6	87,8	90	82,5	85,3
1972	6	87,7	74,1	81,1	86	92,8	86,9	90,7	81,5	81
1972	7	77,4	59,8	80,8	86,7	92,6	84,3	89,4	82,4	78,6
1972	8	69,9	54,2	80,1	84	88,6	81,5	88,8	76,6	80,5
1972	9	62,9	47,6	79	83,7	87,8	77,2	88,2	77	79,1
1972	10	60,8	48,5	78,9	81	81,9	75,2	82,9	76,8	82,1
1972	11	67,3	57,5	83,5	84,5	84,4	72,5	82,8	80,2	81,8
1972	12	82,7	72,9	81,6	82,5	83	74,4	83	78,6	82,5
1973	1	90,7	86,1	80,4	83,8	75,9	75,7	85,6	78,2	80,1
1973	2	92,3	93,1	84,7	83,2	75,5	75,1	83,7	74,6	79,6
1973	3	94	91,8	90,2	83,5	77,1	79,1	84,1	75,5	79,9
1973	4	93,2	91,9	90,7	83,8	90,4	85,5	87,1	79,8	84,6
1973	5	92,3	89,5	86,9	82,9	89,9	85,7	87,1	80,4	84,3
1973	6	90,9	85,2	86,5	84,3	86,2	87,6	89,2	82,9	82
1973	7	90,5	73,1	84,5	86,2	82,3	84,9	90,4	81,9	81,6
1973	8	89,1	58	78,8	84	78	79	87,7	78,2	80,6
