fruta	local	fungo	proporcao
laranja	alto	2	0.99
laranja	alto	3	0.842253433
laranja	alto	1	0.829307597
laranja	alto	5	0.481822094
laranja	alto	4	0.401954115
laranja	alto	2	0.343708449
laranja	alto	2	0.3317
laranja	alto	2	0.324843263
laranja	alto	2	0.230717876
laranja	alto	1	0.214598229
laranja	alto	1	0.205957512
laranja	alto	1	0.196823488
laranja	alto	1	0.148448162
laranja	alto	1	0.076610921
laranja	alto	0	0.050733212
laranja	baixo	1	0.84
laranja	baixo	1	0.28
laranja	baixo	1	0.23
laranja	baixo	1	0.12
laranja	baixo	1	0.79
laranja	baixo	1	0.69
laranja	baixo	1	0.69
laranja	baixo	1	0.41
laranja	baixo	0	0.23
laranja	baixo	0	0.07
laranja	baixo	0	0.777578432
laranja	baixo	0	0.631197359
laranja	baixo	0	0.599919492
laranja	baixo	4	0.298605544
laranja	baixo	5	0.235460699
limao	alto	2	0.475555556
limao	alto	2	0.373333333
limao	alto	3	0.2
limao	alto	2	0.183333333
limao	alto	2	0.166666667
limao	alto	1	0.15
limao	alto	3	0.1
limao	alto	4	0.075555556
limao	alto	5	0.06875
limao	alto	0	0.05
limao	alto	1	0.0475
limao	alto	0	0.03
limao	alto	0	0
limao	alto	0	0
limao	alto	0	0
limao	baixo	0	0.55625
limao	baixo	2	0.491666667
limao	baixo	2	0.485
limao	baixo	2	0.45
limao	baixo	1	0.4275
limao	baixo	1	0.378571429
limao	baixo	1	0.375714286
limao	baixo	1	0.375
limao	baixo	1	0.372222222
limao	baixo	0	0.35
limao	baixo	0	0.317692308
limao	baixo	1	0.279
limao	baixo	1	0.263333333
limao	baixo	0	0.23125
limao	baixo	0	0.098
