Estacao;Dia;Mes;Ano;Hora;VelocidadeVentoMedia;InsolacaoTotal;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia
82280;31;1;1980;0;NA;171.1;274.4;31.074.194;23.874.194;NA
82280;29;2;1980;0;NA;56.3;824.7;28.955.172;22.834.483;NA
82280;31;3;1980;0;NA;98.5;379.5;30.1;23.109.677;NA
82280;30;4;1980;0;NA;116.8;446.7;30.19;23.05;NA
82280;31;5;1980;0;NA;197;228.3;30.835.484;23.787.097;NA
82280;30;6;1980;0;NA;193.4;213.8;30.206.667;23.24;NA
82280;31;7;1980;0;NA;238.8;87.6;30.235.484;22.851.613;NA
82280;31;8;1980;0;NA;245.2;8.5;31.019.355;23.058.065;NA
82280;30;9;1980;0;NA;224;11.2;31.143.333;23.526.667;NA
82280;31;10;1980;0;NA;230.9;0;31.580.645;24.016.129;NA
82280;30;11;1980;0;NA;211.2;1.7;31.256.667;23.713.333;NA
82280;31;12;1980;0;NA;202.5;2.1;31.574.194;23.845.161;NA
82280;31;1;1981;0;3.027.711;160.1;75.9;31.122.581;23.632.258;80.044.643
82280;28;2;1981;0;2.907.246;162.8;161.5;30.592.857;23.378.571;81.806.818
82280;31;3;1981;0;2.844.872;122.4;350.3;29.916.129;23.645.161;85.291.667
82280;30;4;1981;0;1.923.077;161.2;265;30.8;23.553.333;86.71
82280;31;5;1981;0;1.626.389;111;372.3;30.187.097;23.196.774;88.979.167
82280;30;6;1981;0;2.222.222;229.4;82;30.59;23.353.333;84.296.296
82280;31;7;1981;0;2.358.904;258.8;71.6;30.567.742;22.741.935;82.322.917
82280;31;8;1981;0;3.046.739;269.7;0.7;31.280.645;22.887.097;80.282.258
82280;30;9;1981;0;3.582.759;264.6;0;31.65;23.61;75.922.414
82280;31;10;1981;0;3.887.356;258.4;0;31.641.935;23.945.161;75.224.138
82280;30;11;1981;0;3.718.391;232.2;0;32.186.667;24.46;73.456.897
82280;31;12;1981;0;3.823.333;190.9;139.5;31.754.839;24.367.742;76.466.667
82280;31;1;1982;0;2.205.376;142;302;29.735.484;23.683.871;84.266.129
